author,date,message,branches
"yichiban1","Fri Sep 18 19:38:14 2026 +0800","docs: design prose for variant 03 — the quiet table","infoexpo_3"
"yichiban1","Fri Sep 18 19:37:49 2026 +0800","docs: design prose for variant 02 — the top dashboard","infoexpo_2"
"yichiban1","Fri Sep 18 19:37:25 2026 +0800","docs: design prose for variant 01 — one left rail","infoexpo_1"
"yichiban1","Tue Sep 15 19:39:39 2026 +0800","mapping 01: the loop your moves become the backing track","mapping_1"
"yichiban1","Tue Sep 15 12:40:53 2026 +0800","mapping 03: the run leaves visible music behind","mapping_3"
"yichiban1","Mon Sep 14 19:45:03 2026 +0800","mapping 02: the same game in a minor key","Mapping_2"
"yichiban1","Mon Sep 14 09:59:16 2026 +0800","This is the third iteration of the information design; the primary change in this version is making the dice the central focus while tucking away other UI elements into a bottom bar.","infoexpo_3"
"yichiban1","Sun Sep 13 18:57:16 2026 +0800","variant 02: information design — the top dashboard and a flat paytable","infoexpo_2"
"yichiban1","Sun Sep 13 08:46:08 2026 +0800","Rewrite the annotations for each core mechanism.","infoexpo_1"
"yichiban1","Sun Sep 13 08:46:08 2026 +0800","Rewrite the annotations for each core mechanism.","main infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 21:46:26 2026 +0800","variant 01: information design — collapse the HUD into one left rail","infoexpo_1"
"yichiban1","Sat Sep 12 21:28:59 2026 +0800","steeper targets, pay the gamble — settling for pairs no longer wins","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 20:22:38 2026 +0800","sound toggle remembers itself across visits","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 19:29:06 2026 +0800","end card shows the run's best hand","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 18:33:01 2026 +0800","remove formable-hand hints","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 16:13:28 2026 +0800","raise contrast, lighten felt, drop the tagline","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 15:30:09 2026 +0800","descriptions reveal on hover or when played","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 12:53:34 2026 +0800","help button, clearer two-section layout","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 12 06:56:59 2026 +0800","help panel: the box explains itself How system works","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Fri Sep 11 19:56:13 2026 +0800","keys 1-6 select dice, like piano keys","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Thu Sep 10 20:04:39 2026 +0800","Selecting the dice is playing the music.","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Thu Sep 10 19:47:25 2026 +0800","Reinforce the theme of dynamic music: read the game state in real-time before deciding what to play.","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Wed Sep 9 20:02:47 2026 +0800","the box reads the game — density follows progress, urgency and idle","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sun Sep 6 20:52:42 2026 +0800","feat: hint formable hands in combo table（main.js + style.css）。","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Sat Sep 5 20:30:10 2026 +0800","progress bar","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Fri Sep 4 20:05:26 2026 +0800","Sound system tuning improvements","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Fri Sep 4 19:24:35 2026 +0800","Add icon change text","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Thu Sep 3 22:06:44 2026 +0800","The dice hover slightly.","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Thu Sep 3 21:56:50 2026 +0800","Once the gameplay is determined, the first prototype is built.","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
"yichiban1","Thu Sep 3 21:55:38 2026 +0800","Initial commit","main infoexpo_1 infoexpo_2 infoexpo_3 Mapping_2 mapping_1 mapping_3"
